"@timestamp","@version","_id","_index","_score","_type","beat.hostname","beat.name","beat.version","host.architecture","host.containerized","host.id","host.name","host.os.codename","host.os.family","host.os.name","host.os.platform","host.os.version","input.type","log.file.path",message,offset,"prospector.type",source,tags
"Sep 28, 2020 @ 07:13:37.775",1,4NyP03QBL2BaPbyAWA1H,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:13:28.812 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.2: PciDeviceNotFoundById: PCI device 0000:3b:01.2 not found",7934991,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:13:37.775",1,4dyP03QBL2BaPbyAWA1J,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:13:29.163 4831 INFO nova.compute.resource_tracker [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] Final resource view: name=dual-c phys_ram=128453MB used_ram=41472MB phys_disk=66967GB used_disk=200GB total_vcpus=64 used_vcpus=20 pci_stats=[]",7935405,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:13:37.775",1,49yP03QBL2BaPbyAWA1M,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:13:28.772 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.3: PciDeviceNotFoundById: PCI device 0000:3b:01.3 not found",7934784,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:13:37.775",1,5NyP03QBL2BaPbyAWA1O,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:13:28.516 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.4: PciDeviceNotFoundById: PCI device 0000:3b:01.4 not found",7934577,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:13:37.775",1,5dyP03QBL2BaPbyAWA1P,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:13:28.910 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.5: PciDeviceNotFoundById: PCI device 0000:3b:01.5 not found",7935198,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:13:37.774",1,4tyP03QBL2BaPbyAWA1L,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:13:28.060 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.6: PciDeviceNotFoundById: PCI device 0000:3b:01.6 not found",7934370,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:12:32.772",1,4dyO03QBL2BaPbyAVwwO,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:12:26.539 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.4: PciDeviceNotFoundById: PCI device 0000:3b:01.4 not found",7933281,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:12:32.772",1,49yO03QBL2BaPbyAVwwU,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:12:26.756 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.3: PciDeviceNotFoundById: PCI device 0000:3b:01.3 not found",7933488,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:12:32.772",1,5NyO03QBL2BaPbyAVwwW,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:12:27.924 4831 INFO nova.compute.resource_tracker [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] Final resource view: name=dual-c phys_ram=128453MB used_ram=41472MB phys_disk=66967GB used_disk=200GB total_vcpus=64 used_vcpus=20 pci_stats=[]",7934109,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:12:32.772",1,5dyO03QBL2BaPbyAVwwX,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:12:26.910 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.5: PciDeviceNotFoundById: PCI device 0000:3b:01.5 not found",7933902,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:12:32.772",1,5tyO03QBL2BaPbyAVwwZ,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:12:26.803 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.2: PciDeviceNotFoundById: PCI device 0000:3b:01.2 not found",7933695,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:12:32.771",1,4tyO03QBL2BaPbyAVwwT,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:12:26.050 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.6: PciDeviceNotFoundById: PCI device 0000:3b:01.6 not found",7933074,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:11:27.769",1,v9yN03QBL2BaPbyAVAub,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:11:27.104 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.5: PciDeviceNotFoundById: PCI device 0000:3b:01.5 not found",7932606,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:11:27.769",1,wNyN03QBL2BaPbyAVAud,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:11:27.360 4831 INFO nova.compute.resource_tracker [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] Final resource view: name=dual-c phys_ram=128453MB used_ram=41472MB phys_disk=66967GB used_disk=200GB total_vcpus=64 used_vcpus=20 pci_stats=[]",7932813,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:11:27.769",1,wdyN03QBL2BaPbyAVAuh,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:11:27.006 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.2: PciDeviceNotFoundById: PCI device 0000:3b:01.2 not found",7932399,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:11:27.769",1,wtyN03QBL2BaPbyAVAui,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:11:26.966 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.3: PciDeviceNotFoundById: PCI device 0000:3b:01.3 not found",7932192,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:11:27.769",1,w9yN03QBL2BaPbyAVAuj,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:11:26.161 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.6: PciDeviceNotFoundById: PCI device 0000:3b:01.6 not found",7931778,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:11:27.769",1,xNyN03QBL2BaPbyAVAul,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:11:26.679 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.4: PciDeviceNotFoundById: PCI device 0000:3b:01.4 not found",7931985,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:10:32.766",1,7NyM03QBL2BaPbyAgwqx,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:10:27.193 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.5: PciDeviceNotFoundById: PCI device 0000:3b:01.5 not found",7931310,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:10:32.766",1,7tyM03QBL2BaPbyAgwq1,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:10:27.047 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.3: PciDeviceNotFoundById: PCI device 0000:3b:01.3 not found",7930896,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:10:32.766",1,79yM03QBL2BaPbyAgwq2,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:10:27.090 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.2: PciDeviceNotFoundById: PCI device 0000:3b:01.2 not found",7931103,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:10:32.766",1,8NyM03QBL2BaPbyAgwq4,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:10:26.755 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.4: PciDeviceNotFoundById: PCI device 0000:3b:01.4 not found",7930689,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:10:32.766",1,8dyM03QBL2BaPbyAgwq6,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:10:27.452 4831 INFO nova.compute.resource_tracker [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] Final resource view: name=dual-c phys_ram=128453MB used_ram=41472MB phys_disk=66967GB used_disk=200GB total_vcpus=64 used_vcpus=20 pci_stats=[]",7931517,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:10:32.754",1,7dyM03QBL2BaPbyAgwqz,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:10:26.238 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.6: PciDeviceNotFoundById: PCI device 0000:3b:01.6 not found",7930482,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:09:27.751",1,ztyL03QBL2BaPbyAfwnO,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:09:25.115 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.6: PciDeviceNotFoundById: PCI device 0000:3b:01.6 not found",7929186,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:09:27.751",1,ydyL03QBL2BaPbyAfwnM,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:09:25.620 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.4: PciDeviceNotFoundById: PCI device 0000:3b:01.4 not found",7929393,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:09:27.751",1,ytyL03QBL2BaPbyAfwnM,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:09:25.904 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.3: PciDeviceNotFoundById: PCI device 0000:3b:01.3 not found",7929600,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:09:27.751",1,y9yL03QBL2BaPbyAfwnM,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:09:25.953 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.2: PciDeviceNotFoundById: PCI device 0000:3b:01.2 not found",7929807,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:09:27.751",1,zNyL03QBL2BaPbyAfwnM,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:09:26.060 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.5: PciDeviceNotFoundById: PCI device 0000:3b:01.5 not found",7930014,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
